X_cm-1,raw_Y,raw_E,smoothed_Y,smoothed_E,effective_window_points
-6.795219999999999594e+00,2.265000000000000069e-01,1.164150000000000081e-02,2.226530000000000453e-01,5.158878385346954420e-03,5.000000000000000000e+00
-6.674240000000000173e+00,2.195860000000000034e-01,1.146840000000000012e-02,2.298236000000000168e-01,5.241340329610356084e-03,5.000000000000000000e+00
-6.553259999999999863e+00,2.350649999999999962e-01,1.185690000000000008e-02,2.388262000000000163e-01,5.345843805986104542e-03,5.000000000000000000e+00
-6.432269999999999932e+00,2.553480000000000194e-01,1.234870000000000065e-02,2.425670000000000326e-01,5.386828264795528141e-03,5.000000000000000000e+00
-6.311289999999999623e+00,2.576320000000000277e-01,1.242279999999999947e-02,2.514935999999999838e-01,5.485813784335010108e-03,5.000000000000000000e+00
-6.190310000000000201e+00,2.452040000000000053e-01,1.210460000000000008e-02,2.570827999999999447e-01,5.547053795664866165e-03,5.000000000000000000e+00
-6.069320000000000270e+00,2.642189999999999817e-01,1.258689999999999982e-02,2.599316000000000404e-01,5.580157534765483283e-03,5.000000000000000000e+00
-5.948339999999999961e+00,2.630109999999999948e-01,1.254899999999999939e-02,2.659519999999999662e-01,5.642555326197520003e-03,5.000000000000000000e+00
-5.827359999999999651e+00,2.695919999999999983e-01,1.271609999999999928e-02,2.767683999999999700e-01,5.754686161937938062e-03,5.000000000000000000e+00
-5.706369999999999720e+00,2.877339999999999898e-01,1.310850000000000036e-02,2.798983999999999361e-01,5.779705497825992667e-03,5.000000000000000000e+00
-5.585390000000000299e+00,2.992859999999999965e-01,1.335929999999999930e-02,2.922223999999999933e-01,5.903133201953009515e-03,5.000000000000000000e+00
-5.464409999999999989e+00,2.798689999999999789e-01,1.287029999999999945e-02,3.061752000000000362e-01,6.035921594686266892e-03,5.000000000000000000e+00
-5.343420000000000059e+00,3.246310000000000029e-01,1.391140000000000085e-02,3.173592000000000080e-01,6.141214701962471531e-03,5.000000000000000000e+00
-5.222439999999999749e+00,3.393559999999999910e-01,1.418920000000000077e-02,3.267684000000000144e-01,6.227930335962341725e-03,5.000000000000000000e+00
-5.101460000000000328e+00,3.436540000000000150e-01,1.427890000000000062e-02,3.454609999999999626e-01,6.399742797644292561e-03,5.000000000000000000e+00
-4.980470000000000397e+00,3.463319999999999732e-01,1.432779999999999991e-02,3.619746000000000352e-01,6.543579694876497377e-03,5.000000000000000000e+00
-4.859490000000000087e+00,3.733319999999999972e-01,1.482849999999999967e-02,3.770879999999999788e-01,6.671664651134677319e-03,5.000000000000000000e+00
-4.738509999999999778e+00,4.071989999999999776e-01,1.549419999999999964e-02,4.021826000000000012e-01,6.884868553516471090e-03,5.000000000000000000e+00
-4.617519999999999847e+00,4.149229999999999863e-01,1.560929999999999956e-02,4.382454000000000072e-01,7.177551276445192155e-03,5.000000000000000000e+00
-4.496540000000000425e+00,4.691270000000000162e-01,1.661759999999999973e-02,4.820788000000000295e-01,7.520388854813294180e-03,5.000000000000000000e+00
-4.375560000000000116e+00,5.266459999999999475e-01,1.755510000000000057e-02,5.370655999999999208e-01,7.924266425505897132e-03,5.000000000000000000e+00
-4.254570000000000185e+00,5.924989999999999979e-01,1.859730000000000064e-02,6.131359999999999033e-01,8.455645110717455518e-03,5.000000000000000000e+00
-4.133589999999999876e+00,6.821329999999999893e-01,1.990010000000000043e-02,7.235205999999999582e-01,9.172851292133760853e-03,5.000000000000000000e+00
-4.012609999999999566e+00,7.952749999999999542e-01,2.147670000000000134e-02,8.523213999999998958e-01,9.948404559304974831e-03,5.000000000000000000e+00
-3.891630000000000145e+00,1.021050000000000013e+00,2.433569999999999831e-02,1.015945600000000004e+00,1.085349166801172736e-02,5.000000000000000000e+00
-3.770640000000000214e+00,1.170649999999999968e+00,2.605609999999999871e-02,1.227578999999999976e+00,1.192846807418286928e-02,5.000000000000000000e+00
-3.649659999999999904e+00,1.410619999999999985e+00,2.857530000000000139e-02,1.489687999999999901e+00,1.314021453955756258e-02,5.000000000000000000e+00
-3.528680000000000039e+00,1.740299999999999958e+00,3.175320000000000226e-02,1.805444000000000049e+00,1.446703215163358883e-02,5.000000000000000000e+00
-3.407690000000000108e+00,2.105820000000000025e+00,3.493809999999999971e-02,2.196876000000000495e+00,1.596433126310024819e-02,5.000000000000000000e+00
-3.286709999999999798e+00,2.599829999999999863e+00,3.883260000000000184e-02,2.681776000000000160e+00,1.764843338577110066e-02,5.000000000000000000e+00
-3.165729999999999933e+00,3.127810000000000201e+00,4.263850000000000279e-02,3.207504000000000133e+00,1.931532921806925623e-02,5.000000000000000000e+00
-3.044740000000000002e+00,3.835119999999999862e+00,4.724119999999999708e-02,3.839368000000000336e+00,2.114530468171125707e-02,5.000000000000000000e+00
-2.923760000000000137e+00,4.368940000000000268e+00,5.048400000000000110e-02,4.520004000000000133e+00,2.296285092665107178e-02,5.000000000000000000e+00
-2.802779999999999827e+00,5.265139999999999709e+00,5.542310000000000292e-02,5.279690000000000438e+00,2.482990067551620397e-02,5.000000000000000000e+00
-2.681789999999999896e+00,6.003009999999999735e+00,5.926370000000000249e-02,6.115313999999999695e+00,2.673463910008885835e-02,5.000000000000000000e+00
-2.560810000000000031e+00,6.926239999999999952e+00,6.363040000000000362e-02,7.059088000000000029e+00,2.873627304487483963e-02,5.000000000000000000e+00
-2.439830000000000165e+00,8.013239999999999696e+00,6.846280000000000421e-02,8.111859999999998294e+00,3.082251432937942529e-02,5.000000000000000000e+00
-2.318839999999999790e+00,9.087809999999999278e+00,7.296880000000000033e-02,9.333718000000001069e+00,3.308393258149339156e-02,5.000000000000000000e+00
-2.197859999999999925e+00,1.052899999999999991e+01,7.860069999999999557e-02,1.073312999999999917e+01,3.551378244823268776e-02,5.000000000000000000e+00
-2.076880000000000059e+00,1.211229999999999940e+01,8.441070000000000517e-02,1.238880199999999832e+01,3.820980557935881039e-02,5.000000000000000000e+00
-1.955889999999999906e+00,1.392329999999999934e+01,9.064149999999999985e-02,1.438910000000000267e+01,4.125661523289083504e-02,5.000000000000000000e+00
-1.834910000000000041e+00,1.629159999999999897e+01,9.826580000000000037e-02,1.672334000000000032e+01,4.457192909057448860e-02,5.000000000000000000e+00
-1.713929999999999954e+00,1.908930000000000149e+01,1.066649999999999959e-01,1.938668000000000191e+01,4.809813781754549572e-02,5.000000000000000000e+00
-1.592950000000000088e+00,2.220019999999999882e+01,1.152900000000000036e-01,2.221125999999999934e+01,5.159590939469523713e-02,5.000000000000000000e+00
-1.471959999999999935e+00,2.542899999999999849e+01,1.236710000000000031e-01,2.511930000000000263e+01,5.497481111309069496e-02,5.000000000000000000e+00
-1.350980000000000070e+00,2.804619999999999891e+01,1.301289999999999947e-01,2.774709999999999965e+01,5.786944098641354228e-02,5.000000000000000000e+00
-1.229999999999999982e+00,3.083180000000000121e+01,1.365959999999999952e-01,2.995368000000000208e+01,6.020381553589439910e-02,5.000000000000000000e+00
-1.109010000000000051e+00,3.222829999999999728e+01,1.397980000000000056e-01,3.157272000000000389e+01,6.186874265248971938e-02,5.000000000000000000e+00
-9.880290000000000461e-01,3.323310000000000031e+01,1.420649999999999968e-01,3.264719999999999800e+01,6.295473756374495022e-02,5.000000000000000000e+00
-8.670459999999999834e-01,3.352420000000000044e+01,1.427430000000000088e-01,3.310468000000000188e+01,6.342209385726713111e-02,5.000000000000000000e+00
-7.460630000000000317e-01,3.341859999999999786e+01,1.425569999999999893e-01,3.311816000000000315e+01,6.344777280504020067e-02,5.000000000000000000e+00
-6.250799999999999690e-01,3.311919999999999931e+01,1.418979999999999964e-01,3.272048000000000201e+01,6.306882340649774821e-02,5.000000000000000000e+00
-5.040970000000000173e-01,3.229569999999999652e+01,1.400889999999999913e-01,3.196400000000000574e+01,6.233162385627379065e-02,5.000000000000000000e+00
-3.831129999999999813e-01,3.124470000000000169e+01,1.377819999999999878e-01,3.091791999999999874e+01,6.128985898140082433e-02,5.000000000000000000e+00
-2.621299999999999741e-01,2.974180000000000135e+01,1.344039999999999957e-01,2.964227999999999952e+01,5.999677663674940487e-02,5.000000000000000000e+00
-1.411469999999999947e-01,2.818819999999999837e+01,1.307780000000000054e-01,2.831747999999999976e+01,5.862677400403334266e-02,5.000000000000000000e+00
-2.016389999999999849e-02,2.674099999999999966e+01,1.273350000000000037e-01,2.705677999999999628e+01,5.729954672944630178e-02,5.000000000000000000e+00
1.008190000000000058e-01,2.567170000000000130e+01,1.247479999999999978e-01,2.579935999999999652e+01,5.595381204171884226e-02,5.000000000000000000e+00
2.218019999999999992e-01,2.494119999999999848e+01,1.230340000000000045e-01,2.464873999999999654e+01,5.470858706089931633e-02,5.000000000000000000e+00
3.427859999999999796e-01,2.345469999999999899e+01,1.193909999999999971e-01,2.348232000000000141e+01,5.342564688761382297e-02,5.000000000000000000e+00
4.637689999999999868e-01,2.243509999999999849e+01,1.168669999999999987e-01,2.224675999999999831e+01,5.203500384126055062e-02,5.000000000000000000e+00
5.847520000000000495e-01,2.090889999999999915e+01,1.128979999999999984e-01,2.089245999999999981e+01,5.046073506876410514e-02,5.000000000000000000e+00
7.057350000000000012e-01,1.949390000000000001e+01,1.090669999999999973e-01,1.951571999999999818e+01,4.879932898555060933e-02,5.000000000000000000e+00
8.267179999999999529e-01,1.816969999999999885e+01,1.053729999999999944e-01,1.800985999999999976e+01,4.690188629958927380e-02,5.000000000000000000e+00
9.477010000000000156e-01,1.657100000000000151e+01,1.006549999999999945e-01,1.658127999999999957e+01,4.502424785183201800e-02,5.000000000000000000e+00
1.068680000000000074e+00,1.490579999999999927e+01,9.548929999999999918e-02,1.513697999999999944e+01,4.303590212786993774e-02,5.000000000000000000e+00
1.189670000000000005e+00,1.376600000000000001e+01,9.181970000000000409e-02,1.370375999999999905e+01,4.095767377141919241e-02,5.000000000000000000e+00
1.310650000000000093e+00,1.227239999999999931e+01,8.670790000000000441e-02,1.233703199999999889e+01,3.887015091084159574e-02,5.000000000000000000e+00
1.431629999999999958e+00,1.100360000000000049e+01,8.209460000000000368e-02,1.109221400000000202e+01,3.686220192796952483e-02,5.000000000000000000e+00
1.552619999999999889e+00,9.737360000000000682e+00,7.723579999999999335e-02,9.884036000000000044e+00,3.479787660324692999e-02,5.000000000000000000e+00
1.673599999999999977e+00,8.681710000000000704e+00,7.291459999999999608e-02,8.829284000000001242e+00,3.289011656121029747e-02,5.000000000000000000e+00
1.794580000000000064e+00,7.725109999999999921e+00,6.879399999999999404e-02,7.900588000000000832e+00,3.111233132264440426e-02,5.000000000000000000e+00
1.915569999999999995e+00,6.998639999999999972e+00,6.549770000000000592e-02,7.130097999999999381e+00,2.955664565464762375e-02,5.000000000000000000e+00
2.036550000000000082e+00,6.360120000000000218e+00,6.240960000000000257e-02,6.534671999999998704e+00,2.829742932376720296e-02,5.000000000000000000e+00
2.157529999999999948e+00,5.884909999999999641e+00,6.004849999999999771e-02,6.067206000000000543e+00,2.726662357971738546e-02,5.000000000000000000e+00
2.278519999999999879e+00,5.704579999999999984e+00,5.912080000000000113e-02,5.700035999999999881e+00,2.642816137448839031e-02,5.000000000000000000e+00
2.399500000000000188e+00,5.387780000000000236e+00,5.745190000000000019e-02,5.400768000000001123e+00,2.573063010046975491e-02,5.000000000000000000e+00
2.520480000000000054e+00,5.162790000000000212e+00,5.625320000000000320e-02,5.161450000000000315e+00,2.516063647380964441e-02,5.000000000000000000e+00
2.641469999999999985e+00,4.863780000000000214e+00,5.463880000000000126e-02,4.901784000000000141e+00,2.452977635558873520e-02,5.000000000000000000e+00
