X_cm-1,subtracted_Y,subtracted_E,pureMeOH_raw_Y,pureMeOH_raw_E,emptyAlcan_Y,emptyAlcan_E
-1.054570000000000007e+01,3.695895000000000152e-01,2.285981775976353089e-02,4.047580000000000067e-01,2.264539999999999956e-02,3.516849999999999837e-02,3.123640000000000010e-03
-1.042469999999999963e+01,3.609109999999999818e-01,2.248610039491063042e-02,3.933059999999999889e-01,2.228609999999999966e-02,3.239500000000000018e-02,2.992400000000000095e-03
-1.030369999999999919e+01,4.385322999999999860e-01,2.453713415500881345e-02,4.680949999999999833e-01,2.436999999999999930e-02,2.956270000000000078e-02,2.859029999999999818e-03
-1.018280000000000030e+01,4.144565000000000055e-01,2.400588992810722549e-02,4.487809999999999855e-01,2.380689999999999890e-02,3.432450000000000084e-02,3.084519999999999883e-03
-1.006179999999999986e+01,4.138146999999999798e-01,2.403315311715256350e-02,4.502689999999999748e-01,2.382249999999999993e-02,3.645430000000000198e-02,3.175050000000000008e-03
-9.940780000000000172e+00,3.968229000000000339e-01,2.365186984483256746e-02,4.342400000000000149e-01,2.343260000000000134e-02,3.741710000000000175e-02,3.213129999999999806e-03
-9.819800000000000750e+00,4.185539000000000343e-01,2.416096742951531762e-02,4.530040000000000178e-01,2.396229999999999888e-02,3.445009999999999739e-02,3.092010000000000071e-03
-9.698819999999999553e+00,4.470504999999999618e-01,2.490891213512946498e-02,4.828339999999999854e-01,2.470939999999999942e-02,3.578350000000000281e-02,3.146340000000000074e-03
-9.577830000000000510e+00,4.777289000000000119e-01,2.585376668249522378e-02,5.200759999999999827e-01,2.562580000000000066e-02,4.234709999999999863e-02,3.425730000000000094e-03
-9.456849999999999312e+00,4.529444000000000248e-01,2.511204487587779047e-02,4.917290000000000272e-01,2.489639999999999909e-02,3.878460000000000241e-02,3.283910000000000128e-03
-9.335869999999999891e+00,4.542897000000000185e-01,2.515790917730644990e-02,4.914749999999999952e-01,2.495150000000000146e-02,3.718529999999999752e-02,3.216060000000000186e-03
-9.214880000000000848e+00,5.057665999999999551e-01,2.636687509731860252e-02,5.406659999999999799e-01,2.618349999999999844e-02,3.489939999999999709e-02,3.104260000000000179e-03
-9.093899999999999650e+00,5.068960999999999606e-01,2.655104408327664881e-02,5.487090000000000023e-01,2.633239999999999886e-02,4.181290000000000007e-02,3.400390000000000097e-03
-8.972920000000000229e+00,5.228095999999999854e-01,2.689453658336763212e-02,5.614350000000000174e-01,2.669509999999999939e-02,3.862539999999999724e-02,3.269209999999999824e-03
-8.851940000000000808e+00,5.438297000000000825e-01,2.753750337448912511e-02,5.886550000000000393e-01,2.731029999999999916e-02,4.482529999999999848e-02,3.530099999999999991e-03
-8.730949999999999989e+00,5.330394000000000521e-01,2.719869830726463419e-02,5.756499999999999950e-01,2.698100000000000151e-02,4.261059999999999848e-02,3.434360000000000017e-03
-8.609970000000000567e+00,5.735626000000000335e-01,2.802828507409791531e-02,6.120229999999999837e-01,2.783630000000000132e-02,3.846039999999999875e-02,3.274930000000000115e-03
-8.488989999999999370e+00,5.450636999999999288e-01,2.741309245922648324e-02,5.852279999999999704e-01,2.720929999999999876e-02,4.016430000000000000e-02,3.336410000000000157e-03
-8.368000000000000327e+00,5.918647000000000213e-01,2.866251578404973091e-02,6.377190000000000358e-01,2.843969999999999831e-02,4.585430000000000061e-02,3.566970000000000036e-03
-8.247019999999999129e+00,6.349560000000000759e-01,2.974244095570503094e-02,6.866830000000000434e-01,2.949960000000000082e-02,5.172700000000000214e-02,3.792939999999999853e-03
-8.126039999999999708e+00,5.692082000000000530e-01,2.822921182194784370e-02,6.191330000000000444e-01,2.798339999999999855e-02,4.992479999999999835e-02,3.717219999999999813e-03
-8.005050000000000665e+00,6.574803999999999649e-01,3.010835872630887589e-02,7.059299999999999464e-01,2.988379999999999856e-02,4.844960000000000239e-02,3.670389999999999937e-03
-7.884070000000000356e+00,6.231457999999999720e-01,2.942834805466320799e-02,6.727379999999999471e-01,2.919209999999999861e-02,4.959220000000000295e-02,3.721420000000000023e-03
-7.763090000000000046e+00,6.691725999999998953e-01,3.053524495648430107e-02,7.227209999999999468e-01,3.028930000000000164e-02,5.354840000000000294e-02,3.867750000000000094e-03
-7.642100000000000115e+00,6.843833000000000277e-01,3.056526227170969223e-02,7.265449999999999964e-01,3.037329999999999891e-02,4.216170000000000334e-02,3.420219999999999858e-03
